Base,Latitude,Longitude,MGRS,AFSC_Code,AFSC_Full_Name,PDF_URL,Base_URL,Aircraft,Base_Type,First_Duty_Station,Service,Army_Note
ALBACETE (SPAIN),"38°57'0.00""N","1°52'0.00""W",,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,,,Active Duty,No,USAF,
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_BARKSDALE_AFB.html,,Active Duty,Yes,USAF,
BEALE AFB,"39°06'41""N","121°21'35""W",10S FJ 41815 30418,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_BEALE_AFB.html,,Active Duty,Yes,USAF,
BUCKLEY SFB,"39°42'09""N","104°45'29""W",13S ED 20741 94766,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_BUCKLEY_SFB.html,,Active Duty,Yes,USAF,
CANNON AFB,"34°23'20""N","103°19'05""W",13S FU 54620 06558,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_CANNON_AFB.html,,Active Duty,Yes,USAF,
COLUMBUS AFB,"33°37'38""N","88°26'51""W",16S CC 65739 21763,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_COLUMBUS_AFB.html,,Active Duty,Yes,USAF,
CREECH AFB,"36°34'41""N","115°39'29""W",11S PA 20060 48904,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_CREECH_AFB.html,,Active Duty,Yes,USAF,
DAVIS-MONTHAN AFB,"32°10'14""N","110°52'39""W",12S WA 11549 59347,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_DAVIS-MONTHAN_AFB.html,,Active Duty,Yes,USAF,
DUKE FIELD,"30°38'39.32""N","86°31'42.41""W",16R EU 45183 90272,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/WING_files/WING_DUKE_FIELD.html,,Active Duty,Yes,USAF,
DYESS AFB,"32°25'17""N","99°50'31""W",14S MA 20838 87456,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_DYESS_AFB.html,,Active Duty,Yes,USAF,
EDWARDS AFB,"34°55'25""N","117°53'29""W",11S MU 18582 64934,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,,Active Duty,Yes,USAF,
