Base,Latitude,Longitude,MGRS,AFSC_Code,AFSC_Full_Name,PDF_URL,Base_URL,Aircraft,Base_Type,First_Duty_Station
ABBOTSFORD IAP,"49°1'9.00""N","122°22'48.00""W",,F011M3C,"ACFT SYS FLT EVAL, MOBILITY PILOT, C-130J",,,,Active Duty,No
ABERDEEN PROVING GROUND,"39°27'47.00""N","76°7'13.00""W",18S VJ 03627 68763,061C3,CHEMIST/NUCLEAR CHEMIST,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ABERDEEN_PROVING_GROUND.html,,Active Duty,Yes
ABERDEEN PROVING GROUND,"39°27'47.00""N","76°7'13.00""W",18S VJ 03627 68763,062E3G,"DEVELOPMENT ENGINEER, PROJECT",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ABERDEEN_PROVING_GROUND.html,,Active Duty,Yes
ABERDEEN PROVING GROUND,"39°27'47.00""N","76°7'13.00""W",18S VJ 03627 68763,063A3,ACQUISITION MANAGER,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ABERDEEN_PROVING_GROUND.html,,Active Duty,Yes
ABRAHAM LINCOLN C JAP,"39°50'39.00""N","89°40'41.00""W",,092M0,HPSP MEDICAL STUDENT,,,,ANG,No
ABRAHAM LINCOLN C JAP,"39°50'39.00""N","89°40'41.00""W",,092T0,PILOT TRAINEE,,,,ANG,No
AKROTIRI AB,"34°35'20.76""N","32°58'55.95""E",,011R3J,"RECON SURVEIL EW PILOT, TR-1/U-2",,,,Active Duty,No
AKROTIRI AB,"34°35'20.76""N","32°58'55.95""E",,021A3,AIRCRAFT MAINTENANCE,,,,Active Duty,No
AL DHAFRA ABS,"24°14'23.00""N","54°32'58.00""E",,014N4,INTELLIGENCE,,,,Active Duty,No
AL DHAFRA ABS,"24°14'23.00""N","54°32'58.00""E",,016G4,AIR FORCE OPS STAFF OFFICER,,,,Active Duty,No
AL DHAFRA ABS,"24°14'23.00""N","54°32'58.00""E",,032E3G,"CIVIL ENGINEER, GENERAL ENG",,,,Active Duty,No
AL DHAFRA ABS,"24°14'23.00""N","54°32'58.00""E",,K011M3K,"INSTRUCTOR, MOBILITY PILOT, C-17",,,,Active Duty,No
AL DHAFRA ABS,"24°14'23.00""N","54°32'58.00""E",,K013B3B,"INSTRUCTOR, AIR BATTLE MANAGER, AWACS",,,,Active Duty,No
AL UDEID AB,"25°7'1.93""N","51°18'59.41""E",39R WH 31907 77962,013S3D,"SPACE OPERATIONS, SPACE BATTLE MANAGEMENT",,,,Active Duty,No
AL UDEID AB,"25°7'1.93""N","51°18'59.41""E",39R WH 31907 77962,014N3,INTELLIGENCE,,,,Active Duty,No
AL UDEID AB,"25°7'1.93""N","51°18'59.41""E",39R WH 31907 77962,014N4,INTELLIGENCE,,,,Active Duty,No
AL UDEID AB,"25°7'1.93""N","51°18'59.41""E",39R WH 31907 77962,016G4,AIR FORCE OPS STAFF OFFICER,,,,Active Duty,No
AL UDEID AB,"25°7'1.93""N","51°18'59.41""E",39R WH 31907 77962,017S3A,"CYBERSPACE EFFECTS OPERATIONS, OFFENSIVE CYBERSPACE OPERATOR",,,,Active Duty,No
AL UDEID AB,"25°7'1.93""N","51°18'59.41""E",39R WH 31907 77962,021R3,LOGISTICS READINESS,,,,Active Duty,No
AL UDEID AB,"25°7'1.93""N","51°18'59.41""E",39R WH 31907 77962,032E3C,"CIVIL ENGINEER, CIVIL ENG",,,,Active Duty,No
AL UDEID AB,"25°7'1.93""N","51°18'59.41""E",39R WH 31907 77962,032E3G,"CIVIL ENGINEER, GENERAL ENG",,,,Active Duty,No
AL UDEID AB,"25°7'1.93""N","51°18'59.41""E",39R WH 31907 77962,038F3,FORCE SUPPORT,,,,Active Duty,No
AL UDEID AB,"25°7'1.93""N","51°18'59.41""E",39R WH 31907 77962,051J3,JUDGE ADVOCATE,,,,Active Duty,No
AL UDEID AB,"25°7'1.93""N","51°18'59.41""E",39R WH 31907 77962,062E3G,"DEVELOPMENT ENGINEER, PROJECT",,,,Active Duty,No
AL UDEID AB,"25°7'1.93""N","51°18'59.41""E",39R WH 31907 77962,064P3,CONTRACTING,,,,Active Duty,No
AL UDEID AB,"25°7'1.93""N","51°18'59.41""E",39R WH 31907 77962,071S3,SPECIAL INVESTIGATIONS,,,,Active Duty,No
