afsc,grd,ilc_title,billet_count,afsc_title
-011B2A,CAPT,DYESS,1,"BOMBER PILOT, B-1"
-011B2A,LT,DYESS,17,"BOMBER PILOT, B-1"
-011B2A,LT,ELLSWORTH,19,"BOMBER PILOT, B-1"
-011B2B,CAPT,WHITEMAN,4,"BOMBER PILOT, B-2"
-011B2B,LT,WHITEMAN,12,"BOMBER PILOT, B-2"
-011B2B,MAJOR,WHITEMAN,1,"BOMBER PILOT, B-2"
-011B2C,CAPT,BARKSDALE,4,"BOMBER PILOT, B-52"
-011B2C,LT,BARKSDALE,44,"BOMBER PILOT, B-52"
-011B2C,LT,MINOT,25,"BOMBER PILOT, B-52"
-011B3A,CAPT,DYESS,2,"BOMBER PILOT, B-1"
-011B3A,CAPT,ELLSWORTH,3,"BOMBER PILOT, B-1"
-011B3A,LT,DYESS,4,"BOMBER PILOT, B-1"
-011B3A,LT,ELLSWORTH,4,"BOMBER PILOT, B-1"
-011B3A,MAJOR,ELLSWORTH,1,"BOMBER PILOT, B-1"
-011B3B,CAPT,EDWARDS,4,"BOMBER PILOT, B-2"
-011B3B,CAPT,WHITEMAN,16,"BOMBER PILOT, B-2"
-011B3B,LT,WHITEMAN,8,"BOMBER PILOT, B-2"
-011B3B,LTCOL,EDWARDS,1,"BOMBER PILOT, B-2"
-011B3B,LTCOL,PALMDALE,1,"BOMBER PILOT, B-2"
-011B3B,LTCOL,WHITEMAN,3,"BOMBER PILOT, B-2"
-011B3B,MAJOR,EDWARDS,1,"BOMBER PILOT, B-2"
-011B3B,MAJOR,MELBOURNE,1,"BOMBER PILOT, B-2"
-011B3B,MAJOR,WHITEMAN,4,"BOMBER PILOT, B-2"
-011B3C,CAPT,BARKSDALE,9,"BOMBER PILOT, B-52"
-011B3C,CAPT,MINOT,8,"BOMBER PILOT, B-52"
-011B3C,LT,BARKSDALE,10,"BOMBER PILOT, B-52"
-011B3C,LT,MINOT,11,"BOMBER PILOT, B-52"
-011B3C,LTCOL,MINOT,1,"BOMBER PILOT, B-52"
-011B3C,MAJOR,BARKSDALE,2,"BOMBER PILOT, B-52"
-011B3Y,CAPT,EDWARDS,2,"BOMBER PILOT, GENERAL"
-011B3Y,CAPT,EGLIN,1,"BOMBER PILOT, GENERAL"
-011B3Y,CAPT,ELLSWORTH,1,"BOMBER PILOT, GENERAL"
-011B3Y,CAPT,JB PRL HBR-HICKAM,1,"BOMBER PILOT, GENERAL"
-011B3Y,LTCOL,DYESS,1,"BOMBER PILOT, GENERAL"
-011B3Y,LTCOL,ELLSWORTH,1,"BOMBER PILOT, GENERAL"
-011B3Y,LTCOL,MINOT,1,"BOMBER PILOT, GENERAL"
-011B3Y,MAJOR,EDWARDS,3,"BOMBER PILOT, GENERAL"
-011B3Y,MAJOR,JB LANGLEY-EUSTIS,1,"BOMBER PILOT, GENERAL"
-011B3Y,MAJOR,MINOT,1,"BOMBER PILOT, GENERAL"
-011B4A,LTCOL,BARKSDALE,2,"BOMBER PILOT, B-1"
-011B4A,LTCOL,JBAB BOLLING,1,"BOMBER PILOT, B-1"
-011B4A,LTCOL,PENTAGON,1,"BOMBER PILOT, B-1"
-011B4B,LTCOL,BARKSDALE,3,"BOMBER PILOT, B-2"
-011B4B,MAJOR,BARKSDALE,3,"BOMBER PILOT, B-2"
-011B4B,MAJOR,DAVIS-MONTHAN,1,"BOMBER PILOT, B-2"
-011B4B,MAJOR,PENTAGON,1,"BOMBER PILOT, B-2"
-011B4B,MAJOR,SHAW,1,"BOMBER PILOT, B-2"
-011B4C,MAJOR,BARKSDALE,1,"BOMBER PILOT, B-52"
-011B4C,MAJOR,JBAB BOLLING,1,"BOMBER PILOT, B-52"
-011B4C,MAJOR,PENTAGON,1,"BOMBER PILOT, B-52"
-011B4Y,CAPT,BARKSDALE,2,"BOMBER PILOT, GENERAL"
-011B4Y,CAPT,JB PRL HBR-HICKAM,1,"BOMBER PILOT, GENERAL"
-011B4Y,CAPT,JBSA RANDOLPH,2,"BOMBER PILOT, GENERAL"
-011B4Y,CAPT,PENTAGON,1,"BOMBER PILOT, GENERAL"
-011B4Y,COL,BARKSDALE,7,"BOMBER PILOT, GENERAL"
-011B4Y,COL,KIRTLAND,1,"BOMBER PILOT, GENERAL"
-011B4Y,COL,OFFUTT,4,"BOMBER PILOT, GENERAL"
-011B4Y,COL,PENTAGON,5,"BOMBER PILOT, GENERAL"
-011B4Y,COL,RAMSTEIN,1,"BOMBER PILOT, GENERAL"
-011B4Y,LTCOL,BARKSDALE,10,"BOMBER PILOT, GENERAL"
-011B4Y,LTCOL,BRUNSSUM,1,"BOMBER PILOT, GENERAL"
-011B4Y,LTCOL,JB LANGLEY-EUSTIS,1,"BOMBER PILOT, GENERAL"
-011B4Y,LTCOL,JBAB BOLLING,1,"BOMBER PILOT, GENERAL"
-011B4Y,LTCOL,KIRTLAND,2,"BOMBER PILOT, GENERAL"
-011B4Y,LTCOL,NORFOLK,1,"BOMBER PILOT, GENERAL"
-011B4Y,LTCOL,OFFUTT,4,"BOMBER PILOT, GENERAL"
-011B4Y,LTCOL,PENTAGON,7,"BOMBER PILOT, GENERAL"
-011B4Y,LTCOL,SHAW,1,"BOMBER PILOT, GENERAL"
-011B4Y,LTCOL,STUTTGART VAIHING,2,"BOMBER PILOT, GENERAL"
-011B4Y,MAJOR,BARKSDALE,12,"BOMBER PILOT, GENERAL"
-011B4Y,MAJOR,COLORADO SPRINGS,1,"BOMBER PILOT, GENERAL"
-011B4Y,MAJOR,DYESS,1,"BOMBER PILOT, GENERAL"
